Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.34,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.27,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.32,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.736,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,4.06,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OTHER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,5.33,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OYSTER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.13,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, SHIITAKE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,4.44,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.83,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.92,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.14,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.05,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.1,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.669,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"EASTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.39,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"EASTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.655,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.98,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.99,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.882,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.74,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.99,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.882,
SURVEY,2018,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,2.05,
SURVEY,2018,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.61,
SURVEY,2018,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1,
SURVEY,2018,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.04,
SURVEY,2018,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.67,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.31,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.24,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.31,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.659,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.86,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OTHER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,5.43,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OYSTER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.12,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, SHIITAKE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.91,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.74,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.93,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.834,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.03,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.08,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.622,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"EASTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.44,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"EASTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.8,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.95,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.96,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.721,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.84,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.96,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.721,
SURVEY,2017,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.98,
SURVEY,2017,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.6,
SURVEY,2017,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.96,
SURVEY,2017,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.01,
SURVEY,2017,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.6,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.26,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.2,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.26,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.671,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.79,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OTHER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,5.51,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OYSTER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.6,
SURVEY,2016,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, SHIITAKE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.26,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.64,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.83,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.704,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.01,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.05,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.664,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"EASTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.33,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"EASTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.835,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.8,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.81,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.635,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.6,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.81,
SURVEY,2016,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.635,
SURVEY,2016,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.86,
SURVEY,2016,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.47,
SURVEY,2016,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.969,
SURVEY,2016,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.01,
SURVEY,2016,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.622,
SURVEY,2015,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.28,
SURVEY,2015,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.23,
SURVEY,2015,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.29,
SURVEY,2015,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.707,
SURVEY,2015,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.54,
SURVEY,2015,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OTHER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,4.98,
SURVEY,2015,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OYSTER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.19,
